Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,Snaps/GP,Slot Rate,OPP Share,Weight OPP,Weight OPP/GP,Pass Comp,Comp/GP,Pass ATT,PA/GP,Pass Yards,PY/GP,Pass TDs,TDs/GP,Pass INT,INT/GP,Comp %,Clean Pocket %,Deep Ball Comp %,TD Rate,Pass Yards/TD,TD:INT,Yards/ ATT,AY/A,Attempted Air Yards,ATT Air Yards/GP,Completed Air Yards,Comp Air Yards/GP,aDOT,QB Rating,Total QBR,CPOE,Rush ATT,Rush ATT/GP,Rush Yards,Rush YDs/GP,Rush TDs,Rush TDs/ GP,TD Rate,Rush YDs/TD,YPC,Evaded Tackles,ET/GP,Big Runs,Juke Rate,GL ATT,FUM,REC,REC/GP,Targets,Targets/GP,Target Share,RZ Targets,Catch Rate,Routes,Routes/GP,Yards/ Route,REC Yards,REC YDs/GP,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,REC TDs/GP,TD Rate,REC YDs/TD,YDs/TM Pass ATT,Air Yards,Air Yards/GP,Air Yards MS,WOPR,RACR,YAC,YAC/GP,Touches,Touches/GP,Scrim Yards,Scrim Yards/GP,Scrim TDs,Scrim TDs/GP,SCRIM YDs/ Play,Fantasy Points,Exp Points,FPOE,PPR PPG,PPG Rank,FP/ Touch,PPR Rank
Alexander Mattison,MIN,RB,2019,8,202,209,258,490,"1,933",151,30.8%,18.9,-,31.0%,57.5,7.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,69,8.6,322,40.3,1,0.13,1.4%,322.0,4.7,14,1.8,4,17.9%,2,0,9,1.1,11,1.4,5.4%,0,82%,60,7.5,1.0,61,7.6,6.8,5.5,3.4,0,0.000,0.0%,-,0.29,37,4.6,1.9%,0.10,1.65,48,6.0,78,9.8,383,47.9,1,0.13,0.78,53.3,57.6,-4.3,6.7,61,0.7,47
Allen Lazard,GB,WR,2018,3,101,106,114,213,956,188,88.3%,62.7,35.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,2,0.7,17,5.7,0,0.00,0.0%,-,8.5,-,-,-,-,-,0,13,4.3,17,5.7,16.8%,2,76%,93,31.0,2.7,254,84.7,19.5,14.9,12.3,2,0.667,15.4%,127.0,2.40,209,69.7,21.9%,0.41,1.22,96,32.0,15,5.0,271,90.3,2,0.67,1.27,52.1,30.5,21.6,17.4,13,3.5,85
Allen Robinson,CHI,WR,2014,9,359,371,227,613,"3,160",529,86.3%,58.8,21.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,-1,-0.1,0,0.00,0.0%,-,-1.0,-,-,-,-,-,0,57,6.3,86,9.6,24.0%,6,66%,303,33.7,2.3,712,79.1,12.5,8.3,10.4,3,0.333,5.3%,237.3,1.92,896,99.6,28.4%,0.56,0.79,149,16.6,58,6.4,711,79.0,3,0.33,1.16,146.1,137.9,8.2,16.2,17,2.5,9
Alshon Jeffrey,PHI,WR,2012,0,0,0,0,0,0,0,-,-,-,-,-,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,0,-,0,-,0,-,-,0.0,0.0,0.0,-,-,-,-
Alvin Kamara,NO,RB,2017,8,285,289,290,552,"1,587",378,68.5%,47.3,-,57.9%,170.2,21.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,96,12.0,476,59.5,5,0.63,5.2%,95.2,5.0,46,5.8,6,29.5%,4,0,60,7.5,72,9.0,25.3%,10,83%,187,23.4,3.0,565,70.6,9.4,7.8,0.6,3,0.375,5.0%,188.3,1.96,46,5.8,2.9%,0.40,12.28,525,65.6,156,19.5,1041,130.1,8,1.00,1.89,212.1,167.2,44.9,26.5,3,1.4,1
Amari Cooper,DAL,WR,2015,9,378,390,282,680,"2,953",552,81.2%,61.3,18.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,3,0.3,11,1.2,0,0.00,0.0%,-,3.7,-,-,-,-,-,0,59,6.6,83,9.2,22.0%,8,71%,326,36.2,2.0,655,72.8,11.1,7.9,8.6,2,0.222,3.4%,327.5,1.68,710,78.9,24.0%,0.50,0.92,209,23.2,62,6.9,666,74.0,2,0.22,0.98,137.6,138.9,0.7,15.3,21,2.2,11
Andy Dalton,DAL,QB,2011,4,152,158,131,293,"1,064",154,52.6%,38.5,-,-,-,-,52,13.0,85,21.3,452,113.0,1,0.3,3,0.8,61.2%,70.0%,16.7%,1.2%,452.0,0.3,5.3,4.0,514,128.5,514,128.5,6.0,64.4,-,-5.9,6,1.5,20,5.0,0,0.00,0.0%,-,-,-,-,-,-,-,1,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,16.1,44.1,-21.5,4.0,46,-,41
Andy Isabella,ARI,WR,2019,8,261,279,222,571,"2,176",179,31.3%,22.4,73.2%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,-6,-0.8,0,0.00,0.0%,-,-6.0,-,-,-,-,-,0,13,1.6,20,2.5,7.7%,2,65%,94,11.8,1.7,164,20.5,12.6,8.2,15.9,2,0.250,15.4%,82.0,0.59,317,39.6,14.6%,0.22,0.52,40,5.0,14,1.8,158,19.8,2,0.25,0.28,40.8,34.0,6.8,5.1,108,2.9,95
Anthony Firkser,TEN,TE,2017,7,213,218,218,458,"1,669",197,43.0%,28.1,37.8%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,24,3.4,31,4.4,14.6%,3,77%,105,15.0,2.3,244,34.9,10.2,7.9,6.8,1,0.143,4.2%,244.0,1.12,210,30.0,12.6%,0.31,1.16,76,10.9,24,3.4,244,34.9,1,0.14,0.53,54.4,50.3,4.1,7.8,28,2.3,23
Anthony McFarland,PIT,RB,2020,6,218,219,179,421,"1,503",39,9.3%,6.5,-,12.8%,19.4,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,17,2.8,64,10.7,0,0.00,0.0%,-,3.8,5,0.8,1,23.8%,0,0,4,0.7,6,1.0,2.8%,0,67%,8,1.3,3.5,28,4.7,7.0,4.7,0.5,0,0.000,0.0%,-,0.13,3,0.5,0.2%,0.04,9.33,17,2.8,21,3.5,92,15.3,0,0.00,0.22,13.2,16.3,-3.1,2.2,93,0.6,91
Anthony Miller,CHI,WR,2018,9,359,371,227,613,"3,160",356,58.1%,39.6,85.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,9,1.0,0,0.00,0.0%,-,9.0,-,-,-,-,-,1,32,3.6,50,5.6,13.9%,6,64%,226,25.1,1.4,321,35.7,10.0,6.4,10.1,2,0.222,6.3%,160.5,0.87,504,56.0,15.9%,0.32,0.64,63,7.0,33,3.7,330,36.7,2,0.22,0.54,75.0,79.0,-2.0,8.3,76,2.3,57
Antonio Brown,TB,WR,2010,1,37,38,14,50,365,39,78.0%,39.0,-,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,3,3.0,5,5.0,13.5%,-,60%,-,-,-,31,31.0,10.3,6.2,19.8,0,0.000,0.0%,-,0.82,99,99.0,27.1%,0.39,0.31,0,0.0,3,3.0,31,31.0,0,0.00,0.62,6.1,0.0,0.0,6.1,99,2.0,136
Antonio Gandy-Golden,WAS,WR,2020,5,181,187,143,329,"1,122",66,20.1%,13.2,24.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.2,22,4.4,0,0.00,0.0%,-,22.0,-,-,-,-,-,0,1,0.2,4,0.8,2.2%,0,25%,14,2.8,0.2,3,0.6,3.0,0.8,6.0,0,0.000,0.0%,-,0.02,24,4.8,2.1%,0.05,0.13,1,0.2,2,0.4,25,5.0,0,0.00,0.08,3.5,7.1,-3.6,0.7,138,1.8,138
Antonio Gibson,WAS,RB,2020,8,271,282,243,522,"1,714",233,44.6%,29.1,-,47.7%,93.5,11.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,90,11.3,391,48.9,5,0.63,5.6%,78.2,4.3,33,4.1,2,29.5%,5,2,22,2.8,26,3.3,9.6%,1,85%,84,10.5,2.2,182,22.8,8.3,7.0,-1.1,0,0.000,0.0%,-,0.65,-29,-3.6,-1.7%,0.13,-6.28,181,22.6,112,14.0,573,71.6,5,0.63,1.10,105.3,92.9,16.4,13.2,21,0.9,15
Auden Tate,CIN,WR,2018,6,223,231,176,430,"1,858",127,29.5%,21.2,42.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,11,1.8,14,2.3,6.3%,2,79%,47,7.8,2.6,121,20.2,11.0,8.6,9.4,0,0.000,0.0%,-,0.52,132,22.0,7.1%,0.14,0.92,41,6.8,11,1.8,121,20.2,0,0.00,0.28,23.1,23.2,-0.1,3.9,120,2.1,118
Austin Ekeler,LAC,RB,2017,4,133,137,138,288,"1,107",156,54.2%,39.0,-,47.8%,55.5,13.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,49,12.3,248,62.0,1,0.25,2.0%,248.0,5.1,26,6.5,0,39.4%,0,0,17,4.3,17,4.3,12.8%,2,100%,79,19.8,1.8,144,36.0,8.5,8.5,-1.8,0,0.000,0.0%,-,1.05,-31,-7.8,-2.8%,0.17,-4.65,175,43.8,66,16.5,392,98.0,1,0.25,1.36,62.2,47.2,15.0,15.6,12,0.9,42
Austin Hooper,CLE,TE,2016,6,169,182,204,399,"1,505",328,82.2%,54.7,9.2%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,22,3.7,33,5.5,19.5%,2,67%,134,22.3,1.5,205,34.2,9.3,6.2,5.9,1,0.167,4.5%,205.0,1.13,196,32.7,13.0%,0.38,1.05,111,18.5,22,3.7,205,34.2,1,0.17,0.51,48.5,53.8,-5.3,8.1,25,2.2,24
Baker Mayfield,CLE,QB,2018,8,222,236,250,500,"1,862",485,97.0%,60.6,-,-,-,-,137,17.1,223,27.9,1511,188.9,15,1.9,7,0.9,61.4%,67.6%,42.3%,6.7%,100.7,2.1,6.8,6.7,1855,231.9,1855,231.9,8.3,90.9,73.2,1.0,19,2.4,65,8.1,0,0.00,0.0%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,112.9,121.0,7.2,14.1,28,-,25
Ben DiNucci,DAL,QB,2020,3,111,116,98,224,772,94,42.0%,31.3,-,-,-,-,23,7.7,43,14.3,219,73.0,0,0.0,0,0.0,53.5%,-,-,0.0%,-,-,5.1,5.1,349,116.3,349,116.3,8.1,-,#N/A,-,6,2.0,22,7.3,0,0.00,0.0%,-,-,-,-,-,-,-,2,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,7.0,0.0,0.0,2.3,47,-,47
Ben Roethlisberger,PIT,QB,2004,8,290,292,236,550,"1,957",539,98.0%,67.4,-,-,-,-,196,24.5,288,36.0,1934,241.8,18,2.3,4,0.5,68.1%,70.7%,23.3%,6.3%,107.4,4.5,6.7,7.3,1964,245.5,1964,245.5,6.8,101.8,61.0,0.3,18,2.3,14,1.8,0,0.00,0.0%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,142.8,148.2,15.9,17.8,20,-,16
Benny Snell,PIT,RB,2019,7,258,260,215,497,"1,725",94,18.9%,13.4,-,23.3%,32.0,4.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,47,6.7,168,24.0,2,0.29,4.3%,84.0,3.6,7,1.0,2,14.3%,5,1,2,0.3,3,0.4,1.2%,0,67%,17,2.4,0.0,0,0.0,0.0,0.0,-5.7,0,0.000,0.0%,-,0.00,-17,-2.4,-1.0%,0.01,0.00,15,2.1,49,7.0,168,24.0,2,0.29,0.34,28.8,39.9,-9.1,4.1,80,0.6,71
Blake Jarwin,DAL,TE,2017,1,37,39,31,72,283,25,34.7%,25.0,23.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,1,1.0,1,1.0,2.7%,0,100%,17,17.0,0.7,12,12.0,12.0,12.0,12.0,0,0.000,0.0%,-,0.31,12,12.0,4.2%,0.07,1.00,0,0.0,1,1.0,12,12.0,0,0.00,0.17,2.2,0.8,1.4,2.2,52,2.2,54
Boston Scott,PHI,RB,2018,8,295,307,195,567,"2,790",212,37.4%,26.5,-,33.3%,54.9,6.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,48,6.0,183,22.9,0,0.00,0.0%,-,3.8,9,1.1,2,15.0%,1,0,12,1.5,17,2.1,5.8%,5,71%,106,13.3,1.0,103,12.9,8.6,6.1,1.0,1,0.125,8.3%,103.0,0.34,17,2.1,0.6%,0.09,6.06,87,10.9,60,7.5,286,35.8,1,0.13,0.50,46.6,55.3,-8.7,5.8,66,0.8,53
Brandin Cooks,HOU,WR,2014,8,263,272,180,492,"2,334",410,83.3%,51.3,24.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,37,4.6,60,7.5,22.8%,5,62%,232,29.0,2.2,510,63.8,13.8,8.5,10.3,3,0.375,8.1%,170.0,1.88,618,77.3,26.5%,0.53,0.83,122,15.3,37,4.6,510,63.8,3,0.38,1.04,106.0,102.4,3.6,13.3,35,2.9,28
Brandon Aiyuk,SF,WR,2020,7,237,242,241,484,"1,567",401,82.9%,57.3,11.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,4,0.6,69,9.9,2,0.29,50.0%,34.5,17.3,-,-,-,-,-,0,28,4.0,43,6.1,18.1%,9,65%,239,34.1,1.6,371,53.0,13.3,8.6,10.0,2,0.286,7.1%,185.5,1.53,432,61.7,27.6%,0.47,0.86,162,23.1,32,4.6,440,62.9,4,0.57,0.91,96.0,85.1,10.9,13.7,30,3.0,35
Breshad Perriman,NYJ,WR,2015,5,150,159,126,295,"1,227",238,80.7%,47.6,11.5%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,16,3.2,24,4.8,16.0%,1,67%,123,24.6,1.8,219,43.8,13.7,9.1,12.8,2,0.400,12.5%,109.5,1.38,307,61.4,25.0%,0.42,0.71,62,12.4,16,3.2,219,43.8,2,0.40,0.74,49.9,36.7,13.2,10.0,56,3.1,86
Brett Rypien,DEN,QB,2019,1,28,31,31,70,302,83,118.6%,83.0,-,-,-,-,27,27.0,40,40.0,295,295.0,2,2.0,4,4.0,67.5%,-,-,5.0%,147.5,0.5,7.4,3.9,346,346.0,346,346.0,8.7,66.1,-,8.2,5,5.0,-5,-5.0,0,0.00,0.0%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,11.3,18.5,-4.2,11.3,35,-,44
Brian Hill,ATL,RB,2017,9,342,352,293,653,"3,061",158,24.2%,17.6,-,25.9%,64.3,7.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,56,6.2,243,27.0,1,0.11,1.8%,243.0,4.3,10,1.1,1,13.9%,0,1,16,1.8,20,2.2,5.8%,1,80%,84,9.3,1.3,111,12.3,6.9,5.6,1.0,0,0.000,0.0%,-,0.32,19,2.1,0.6%,0.09,5.84,94,10.4,72,8.0,354,39.3,1,0.11,0.54,55.4,57.9,-0.5,6.2,64,0.8,46
Brian Hoyer,NE,QB,2009,1,35,37,41,75,296,50,66.7%,50.0,-,-,-,-,15,15.0,24,24.0,130,130.0,0,0.0,1,1.0,62.5%,-,-,0.0%,-,0.0,5.4,3.5,196,196.0,196,196.0,8.2,59.4,-,-1.3,1,1.0,8,8.0,0,0.00,0.0%,-,-,-,-,-,-,-,1,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,2.0,11.2,-5.9,2.0,48,-,49
Bryan Edwards,LV,WR,2020,4,117,123,132,252,959,121,48.0%,30.3,14.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,5,1.3,6,1.5,5.1%,0,83%,53,13.3,1.9,99,24.8,19.8,16.5,9.2,0,0.000,0.0%,-,0.80,55,13.8,5.7%,0.12,1.80,47,11.8,5,1.3,99,24.8,0,0.00,0.39,14.9,9.3,5.6,3.7,122,3.0,127
Calvin Ridley,ATL,WR,2018,8,307,317,261,582,"2,711",427,73.4%,53.4,7.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,3,0.4,14,1.8,0,0.00,0.0%,-,4.7,-,-,-,-,-,0,43,5.4,68,8.5,22.1%,13,63%,279,34.9,2.4,657,82.1,15.3,9.7,14.6,6,0.750,14.0%,109.5,2.07,995,124.4,36.7%,0.59,0.66,109,13.6,46,5.8,671,83.9,6,0.75,1.15,146.1,119.0,29.1,18.3,9,3.2,8
Cam Akers,LAR,RB,2020,6,209,220,202,437,"1,637",64,14.6%,10.7,-,18.3%,23.5,3.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,35,5.8,148,24.7,0,0.00,0.0%,-,4.2,12,2.0,1,32.4%,0,0,2,0.3,2,0.3,1.0%,0,100%,17,2.8,1.4,23,3.8,11.5,11.5,5.0,0,0.000,0.0%,-,0.10,10,1.7,0.6%,0.02,2.30,13,2.2,37,6.2,171,28.5,0,0.00,0.39,19.1,20.2,-1.1,3.2,87,0.5,82
